Date,TSMC_Close,US_10Y_Yield
2025-10-17,1440.48291015625,4.02
2025-10-20,1470.2861328125,4.0
2025-10-21,1470.2861328125,3.98
2025-10-22,1450.4173583984375,3.97
2025-10-23,1440.48291015625,4.01
2025-10-27,1470.2861328125,4.01
2025-10-28,1465.31884765625,3.99
2025-10-29,1495.1219482421875,4.08
2025-10-30,1495.1219482421875,4.11
2025-10-31,1490.15478515625,4.11
2025-11-03,1500.0892333984375,4.13
2025-11-04,1495.1219482421875,4.1
2025-11-05,1450.4173583984375,4.17
2025-11-06,1455.3843994140625,4.11
2025-11-07,1450.4173583984375,4.11
2025-11-10,1465.31884765625,4.13
2025-11-11,1455.3843994140625,4.13
2025-11-12,1465.31884765625,4.08
2025-11-13,1450.4173583984375,4.11
2025-11-14,1420.6142578125,4.14
2025-11-17,1435.5157470703125,4.13
2025-11-18,1395.7783203125,4.12
2025-11-19,1385.8438720703125,4.13
2025-11-20,1445.4501953125,4.1
2025-11-21,1375.90966796875,4.06
2025-11-24,1365.9752197265625,4.04
2025-11-25,1405.7127685546875,4.01
2025-11-26,1430.5487060546875,4.0
2025-11-27,1425.5814208984375,4.0
2025-11-28,1430.5487060546875,4.02
2025-12-01,1400.7454833984375,4.09
2025-12-02,1420.6142578125,4.09
2025-12-03,1440.48291015625,4.06
2025-12-04,1435.5157470703125,4.11
2025-12-05,1450.4173583984375,4.14
2025-12-08,1485.1876220703125,4.17
2025-12-09,1470.2861328125,4.18
2025-12-10,1495.1219482421875,4.13
2025-12-11,1465.219482421875,4.14
2025-12-12,1475.18701171875,4.19
2025-12-15,1445.2845458984375,4.18
2025-12-16,1430.3333740234375,4.15
2025-12-17,1425.349609375,4.16
2025-12-18,1425.349609375,4.12
2025-12-19,1425.349609375,4.16
2025-12-22,1460.2357177734375,4.17
2025-12-23,1485.1544189453125,4.18
2025-12-24,1490.13818359375,4.15
2025-12-26,1505.0894775390625,4.14
2025-12-29,1525.0244140625,4.12
2025-12-30,1515.056884765625,4.14
2025-12-31,1544.9593505859375,4.18
2026-01-02,1579.8455810546875,4.19
2026-01-05,1664.569091796875,4.17
2026-01-06,1699.455322265625,4.18
2026-01-07,1669.5528564453125,4.15
2026-01-08,1679.5203857421875,4.19
2026-01-09,1674.53662109375,4.18
2026-01-12,1684.5040283203125,4.19
2026-01-13,1704.4390869140625,4.18
2026-01-14,1704.4390869140625,4.15
2026-01-15,1684.5040283203125,4.17
2026-01-16,1734.3414306640625,4.24
2026-01-19,1754.2763671875,4.24
2026-01-20,1769.2276611328125,4.3
2026-01-21,1734.3414306640625,4.26
2026-01-22,1754.2763671875,4.26
2026-01-23,1764.243896484375,4.24
2026-01-26,1749.292724609375,4.22
2026-01-27,1774.21142578125,4.24
2026-01-28,1814.081298828125,4.26
2026-01-29,1799.130126953125,4.24
2026-01-30,1769.2276611328125,4.26
2026-02-02,1759.2601318359375,4.29
2026-02-03,1794.1463623046875,4.28
2026-02-04,1779.195068359375,4.29
2026-02-05,1759.2601318359375,4.21
2026-02-06,1774.21142578125,4.22
2026-02-09,1809.0975341796875,4.22
2026-02-10,1873.88623046875,4.16
2026-02-11,1908.7723388671875,4.18
2026-02-23,1893.8211669921875,4.03
2026-02-24,1958.6097412109375,4.04
2026-02-25,2008.4471435546875,4.05
2026-02-26,1988.51220703125,4.02
2026-03-02,1968.5772705078125,4.05
2026-03-03,1928.707275390625,4.06
2026-03-04,1858.9349365234375,4.09
2026-03-05,1893.8211669921875,4.13
2026-03-06,1883.8536376953125,4.15
2026-03-09,1804.11376953125,4.12
2026-03-10,1843.9837646484375,4.15
2026-03-11,1933.6910400390625,4.21
2026-03-12,1878.869873046875,4.27
2026-03-13,1858.9349365234375,4.28
2026-03-16,1839.0,4.23
2026-03-17,1870.0,4.2
2026-03-18,1905.0,4.26
2026-03-19,1850.0,4.25
2026-03-20,1840.0,4.39
2026-03-23,1810.0,4.34
2026-03-24,1810.0,4.39
2026-03-25,1845.0,4.33
2026-03-26,1840.0,4.42
2026-03-27,1820.0,4.44
2026-03-30,1780.0,4.35
2026-03-31,1760.0,4.3
2026-04-01,1855.0,4.33
2026-04-02,1810.0,4.31
2026-04-07,1860.0,4.33
2026-04-08,1950.0,4.29
2026-04-09,1955.0,4.29
2026-04-10,2000.0,4.31
2026-04-13,1990.0,4.3
2026-04-14,2055.0,4.26
2026-04-15,2080.0,4.29
2026-04-16,2085.0,4.32
2026-04-17,2030.0,4.32
